formulae,charges
['C30H52O26'],[0]
['C5H11NO2S'],[0]
['C5H11NO3S'],[0]
['C68H104N12O38'],[-4]
['C111H169N21O59'],[-6]
['C120H186N24O63'],[-6]
['C114H172N22O59'],[-6]
['Ni'],[2]
['C123H200N2O57P2'],[-2]
['C89H145N1O32P2'],[-2]
['C18H33O2'],[-1]
['C29H58N1O8P1'],[0]
"['C37H74N1O8P1', 'C37H74NO8P']",[0]
['C8H12N'],[1]
['C30H58O10P1'],[-1]
['C34H62O10P1'],[-1]
['C38H70O10P1'],[-1]
['C34H65O13P2'],[-3]
['C9H11NO2'],[0]
['C7H12N2O3'],[0]
['C12H25N2O7'],[1]
['C3H6NO6P'],"[-2, -1]"
['C8H9NO3'],[0]
['C5H9O8P'],[-2]
['C5H10O5'],[0]
['O4Se'],[-2]
['C3H7NO3'],[0]
['C4H4O4'],[-2]
['C12H22O11'],[0]
['C4H4O6'],[-2]
['C4H9NO3'],[0]
['C10H14N2O5'],[0]
['C3H10N'],[1]
['C3H9NO'],[0]
['C14H25O2'],[-1]
['C55H89O7P2'],[-3]
['C9H11N2O9P'],[-2]
['C4H4N2O2'],[0]
"['CH5N2O', 'CH4N2O']",[0]
['C5H4N4O2'],[0]
['C5H10O5'],[0]
['Zn'],[2]
['C5H7O3S'],[-1]
"['C17H21N4O9P', 'XH2']","[0, -2]"
['C25H35N7O19P3S'],"[0, -5]"
['C16H21N4O10P2S'],"[-3, -2]"
['C6H10O5'],[0]
['C1920H3622O700P100'],[-200]
['C7H9N2O'],[1]
['C5H6NO3'],[-1]
['C5H9O4'],"[0, -1]"
['C3H3O10P2'],[-5]
['C9H14N5O8P'],"[-2, -1]"
['C6H12O5'],[0]
['C38H56O3'],[0]
['C7H14O2'],[0]
['C5H10O'],[0]
['C5H12O'],[0]
['C7H7O7'],[-3]
['C4H8O'],[0]
['C6H6O5'],[-2]
['C8H10O'],[0]
['C9H7O4'],[-1]
['C9H11N3O7P'],[-1]
['C37H53O4'],[-1]
['C31H50N7O18P3S'],[-4]
['C37H62N7O18P3S'],[-4]
['C47H82N7O18P3S'],[-4]
['C8H13O5'],[-1]
['C5H10O'],[0]
['C31H48N7O18P3S'],[-4]
['C29H46O'],[0]
['C6H10NO3'],[-1]
['C4H9NO2'],[0]
['C7H6NO2'],[-1]
['C5H11N3O2'],[0]
['C5H4O6'],[-2]
['C28H36N7O18P3S'],[-4]
['C5H9NO3'],"[0, -1]"
['C6H10O10P2'],[-4]
['C20H21N7O7'],[-2]
"['HSR', 'C384H603N96O142P1S3', 'X', 'HX', 'C11H21N2O7PRS']","[0, -1]"
['C6H11NO3'],[0]
['C11H12N2O4'],[0]
['C7H11N3O2'],[0]
['C20H22N2O8'],[-2]
['C10H10NO4'],[-1]
['C30H50O'],[0]
['C30H50O'],[0]
['C9H7O3'],[-1]
"['C13H23N2O8PRS', 'C2H3OX', 'C2H3ORS', 'C2H3OSR', 'C386H605O143N96P1S3']","[0, -1]"
['C4H8O2'],[0]
['C7H10NO4'],[-1]
['C9H17NO4'],[0]
['C5H5N5'],[0]
['C10H12N5O10P2'],[-3]
['C5H4O5'],"[0, -2]"
['C4H7N4O4'],[-1]
['C10H14N5O7P'],[0]
['C6H7N2O4R2'],[-1]
['C3H7N2'],[1]
['C5H10O5'],[0]
['C6H15N4O2'],"[0, 1]"
['C6H15N4O2'],"[0, 1]"
['C10H12N5O13P3'],[-4]
['C10H12N5O13P3'],[-4]
['C4H10O2'],[0]
['C9H12N3O11P2'],[-3]
['C44H89NO4'],[0]
['C44H89NO4'],[0]
['C6H5O7'],[-3]
['C7380H13688O1700P200'],[-200]
['C11H18N4O4'],[0]
['CO2'],[0]
['CO2'],[0]
['C7H15NO3'],[0]
"['C6H12N2O4S2', 'C7H14N2O4S']",[0]
['C10H12N5O9P2'],[-3]
['C3540H6544O1100P200'],[-300]
['C9H21N2O2'],[1]
['C9H12N3O10P2'],[-3]
"['C12H23OX', 'C23H43N2O8PRS', 'C12H23OSR', 'C396H625O143N96P1S3', 'C12H23ORS']","[0, -1]"
['C12H23O2'],[-1]
['C8H17NOS2'],[0]
['C14H13N6O3'],[-1]
['C21H24N6O15P2'],[-2]
"['C95H155O4P', 'C55H91O4P', 'C15H27O4P']",[-2]
"['C95H155O4P', 'C55H91O4P', 'C15H27O4P']",[-2]
['C21H33N7O13P2S'],[-2]
['C1695H2995O101'],[0]
['C1695H2993O101'],[0]
['C28H44O'],[0]
['C28H46O'],[0]
"['C17H19N4O9P', 'C17H18N4O9P']","[-3, -2]"
"['C42H53FeN8O6S2', 'C34H32FeN4O4R4', 'C34H32FeN4O4']","[1, 2, -2]"
['C6H11O9P'],"[-2, -1]"
['C5H9NO3'],[0]
['C2H5NO2'],[0]
['C3H7O6P'],[-2]
"['C10H16N3O6S', 'C10H15N3O6S']",[-1]
"['C10H16N3O6S', 'C10H15N3O6S']",[-1]
['H2O2'],[0]
['H2O'],[0]
['H2O'],[0]
['H'],"[0, 1]"
['H'],"[0, 1]"
"['C7H10O7', 'C7H7O7']","[0, -3]"
"['HCO3', 'CHO3']",[-1]
['C4H9NO2S'],[0]
['C16H31O2'],[-1]
['C37H60N7O17P3S'],[-4]
"['C49FeH54N4O6', 'C49H54FeN4O6', 'C49H55FeN4O6']","[-6, -3, -2]"
"['C49FeH56N4O5', 'C49H56FeN4O5']","[0, -2]"
['C26H51O2'],[-1]
['C26H51O2'],[-1]
['C47H82N7O17P3S'],[-4]
['C47H82N7O17P3S'],[-4]
